id_paper,title,authors,publication_year,journal,id_effect,study_design,n_case,n_male_case,n_female_case,mean_age_case,sd_age_case,n_hc,n_male_hc,n_female_hc,mean_age_hc,sd_age_hc,phenotype,brain_region,left_right,brain_tract,mean_case,sd_case,mean_hc,sd_hc,t_value
1,Adolescent conduct problems related to white matter connectivity,Oostermeijer et al.,2017,European Neuropsychopharmacology,1,case_control,15,9,6,16.7,0.34,100,47,53,16.64,0.5,CP,I,L,UF_L,0.3641,0.0186,0.3692,0.0139,NA
1,Adolescent conduct problems related to white matter connectivity,Oostermeijer et al.,2017,European Neuropsychopharmacology,2,case_control,15,9,6,16.7,0.34,100,47,53,16.64,0.5,CP,I,R,UF_R,0.3245,0.0153,0.3325,0.0125,NA
1,Adolescent conduct problems related to white matter connectivity,Oostermeijer et al.,2017,European Neuropsychopharmacology,3,case_control,15,9,6,16.7,0.34,100,47,53,16.64,0.5,CP,I,L,IFOF_L,0.3976,0.0164,0.4051,0.0131,NA
1,Adolescent conduct problems related to white matter connectivity,Oostermeijer et al.,2017,European Neuropsychopharmacology,4,case_control,15,9,6,16.7,0.34,100,47,53,16.64,0.5,CP,I,R,IFOF_R,0.4001,0.0161,0.4068,0.0126,NA
1,Adolescent conduct problems related to white matter connectivity,Oostermeijer et al.,2017,European Neuropsychopharmacology,5,case_control,15,9,6,16.7,0.34,100,47,53,16.64,0.5,CP,I,L,ILF_L,0.3689,0.0147,0.3773,0.0124,NA
1,Adolescent conduct problems related to white matter connectivity,Oostermeijer et al.,2017,European Neuropsychopharmacology,6,case_control,15,9,6,16.7,0.34,100,47,53,16.64,0.5,CP,I,R,ILF_R,0.3852,0.0147,0.3931,0.012,NA
1,Adolescent conduct problems related to white matter connectivity,Oostermeijer et al.,2017,European Neuropsychopharmacology,7,case_control,15,9,6,16.7,0.34,100,47,53,16.64,0.5,CP,S,L,SLF L,0.3365,0.0126,0.3393,0.0108,NA
1,Adolescent conduct problems related to white matter connectivity,Oostermeijer et al.,2017,European Neuropsychopharmacology,8,case_control,15,9,6,16.7,0.34,100,47,53,16.64,0.5,CP,S,R,SLF_R,0.3225,0.0106,0.3251,0.0108,NA
2,DTI-measured white matter abnormalities in adolescents with Conduct Disorder,Haney-Caron et al.,2011,Journal of Psychiatric Research,1,case_control,17,10,7,16.7,1,24,15,9,15.6,1.7,CD,I,L,IFOF_L,NA,NA,NA,NA,3.5
2,DTI-measured white matter abnormalities in adolescents with Conduct Disorder,Haney-Caron et al.,2011,Journal of Psychiatric Research,2,case_control,17,10,7,16.7,1,24,15,9,15.6,1.7,CD,I,L,IFOF_L,NA,NA,NA,NA,2.96
2,DTI-measured white matter abnormalities in adolescents with Conduct Disorder,Haney-Caron et al.,2011,Journal of Psychiatric Research,3,case_control,17,10,7,16.7,1,24,15,9,15.6,1.7,CD,I,R,IFOF_R,NA,NA,NA,NA,4.69
2,DTI-measured white matter abnormalities in adolescents with Conduct Disorder,Haney-Caron et al.,2011,Journal of Psychiatric Research,4,case_control,17,10,7,16.7,1,24,15,9,15.6,1.7,CD,I,R,ILF_R,NA,NA,NA,NA,2.77
2,DTI-measured white matter abnormalities in adolescents with Conduct Disorder,Haney-Caron et al.,2011,Journal of Psychiatric Research,5,case_control,17,10,7,16.7,1,24,15,9,15.6,1.7,CD,A,R,SLF_R,NA,NA,NA,NA,2.27
2,DTI-measured white matter abnormalities in adolescents with Conduct Disorder,Haney-Caron et al.,2011,Journal of Psychiatric Research,6,case_control,17,10,7,16.7,1,24,15,9,15.6,1.7,CD,S,R,SLF_R,NA,NA,NA,NA,3.26
2,DTI-measured white matter abnormalities in adolescents with Conduct Disorder,Haney-Caron et al.,2011,Journal of Psychiatric Research,7,case_control,17,10,7,16.7,1,24,15,9,15.6,1.7,CD,S,L,SLF L,NA,NA,NA,NA,2.11
